Song Name,Artists,Artist_ID,Track_ID
"Take Me Home, Country Roads - Original Version",John Denver,7EK1bQADBoqbYXnT4Cqv9w,1YYhDizHx7PnDhAhko6cDS
Waiting for a Girl like You,Foreigner,6IRouO5mvvfcyxtPDKMYFN,2OgVsp77En2nju8pnCieVU
I Want to Know What Love Is - 1999 Remaster,Foreigner,6IRouO5mvvfcyxtPDKMYFN,1JLn8RhQzHz3qDqsChcmBl
As It Was,Harry Styles,6KImCVD70vtIoJWnq6nGn3,4Dvkj6JhhA12EX05fT7y2e
Viva La Vida,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,1mea3bSkSGXuIRvnydlB5b
Take on Me,a-ha,2jzc5TC5TVFLXQlBNiIUzE,2WfaOiMkCvy7F5fcp2zZ8L
Bohemian Rhapsody,Queen,1dfeR4HaWDbWqFHLkxsg1d,3z8h0TU7ReDPLIbEnYhWZb
The Final Countdown,Europe,7Js6Lde8thlIHXggv2SCBz,3MrRksHupTVEQ7YbA0FsZK
Live Is Life,Opus,5pf1217gT8zcjOFc7oMi47,76pyWH7ZLr6q4kJZS3MmEE
Cheap Thrills,Sia,5WUlDfRSoLAfcVSX1WnrxN,27SdWb2rFzO6GWiYDBTD9j
We Who Lament,"Earthside, Keturah",6mRDRKsNautYuxybddnvgg,60YFo3TyBJ1nd2Flke5SYK
"Alone, Pt. II","Alan Walker, Ava Max",7vk5e3vY1uw9plTHJAMwjN,28VbwtsYnj85UEODGpQRem
I'm Good (Blue),"David Guetta, Bebe Rexha",1Cs0zKBU1kc0i8ypK3B9ai,4uUG5RXrOk84mYEfFvj3cK
Bones,Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,54ipXppHLA8U4yqpOFTUhr
Demons,Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,5qaEfEh1AtSdrdrByCP7qR
Something Just Like This,"The Chainsmokers, Coldplay",69GGBxA162lTqCwzJG5jLp,6RUKPb4LETWmmr3iAEQktW
A Sky Full of Stars,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,0FDzzruyVECATHXKHFs9eJ
Hips Don't Lie (feat. Wyclef Jean),"Shakira, Wyclef Jean",0EmeFodog0BfCgMzAIvKQp,3ZFTkvIE7kyPt6Nu3PEa7V
Wavin' Flag - Coca-Cola® Celebration Mix,K'NAAN,7pGyQZx9thVa8GxMBeXscB,4nOygULhEuDO5ZBRNPFaso
Time of Our Lives,Chawki,79b2ipSR68Uf9EzA438KZt,1OPLF48hCfqeEjlFP3e8xX
The Nights,Avicii,1vCWHaC5f2uS3yhpwWbIA6,0ct6r3EGTcMLPtrXHDvVjc
Hall of Fame (feat. will.i.am),"The Script, will.i.am",3AQRLZ9PuTAozP28Skbq8V,7wMq5n8mYSKlQIGECKUgTX
Hotel California - 2013 Remaster,Eagles,0ECwFtbIWEVNwjlrfc6xoL,40riOy7x9W7GXjyGp4pjAv
Laid to Rest,Lamb of God,3JFsVIxOn7STeilPICkkB2,1yc53HK08sDab7PDFgnLWk
Are You Dead Yet?,Children Of Bodom,1xUhNgw4eJDZfvumIpcz1B,52s05aBQd2LVc6EWIQCQI1
Breaking the Law,Judas Priest,2tRsMl4eGxwoNabM08Dm4I,2RaA6kIcvomt77qlIgGhCT
Holy Wars...The Punishment Due - 2004 Remix,Megadeth,1Yox196W7bzVNZI7RBaPnf,5LyRtsQLhcXmy50VXhQXXS
Symphony Of Destruction - Remastered 2012,Megadeth,1Yox196W7bzVNZI7RBaPnf,5mR858YsHYG761aUqZoGkD
Painkiller,Judas Priest,2tRsMl4eGxwoNabM08Dm4I,0L7zm6afBEtrNKo6C6Gj08
Cowboys from Hell,Pantera,14pVkFUHDL207LzLHtSA18,2SgbR6ttzoNlCRGQOKjrop
Heaven and Hell - 2008 Remaster,Black Sabbath,5M52tdBnJaKSvOpJGz8mfZ,3Jl5GohfNwozDmpzmQBLDI
Raining Blood,Slayer,1IQ2e1buppatiN1bxUVkrk,01Mpj13vURSO3cCLprPt5T
Pull Me Under,Dream Theater,2aaLAng2L2aWD2FClzwiep,5CPXR6lDTvngxtmMZxnWmC
Bleed,Meshuggah,3ggwAqZD3lyT2sbovlmfQY,4E6wpXABj8XosZEPXZz2OK
Paranoid - 2012 - Remaster,Black Sabbath,5M52tdBnJaKSvOpJGz8mfZ,1Y373MqadDRtclJNdnUXVc
Flying Whales,Gojira,0GDGKpJFhVpcjIGF8N6Ewt,5OjCsHeByDYEGxMrb1z8KQ
Blood and Thunder,Mastodon,1Dvfqq39HxvCJ3GvfeIFuT,3jagGO7eHHuaD53ibehkux
Voice of the Soul,Death,4f5V3PQ66nIrBCqugJtaGn,69Yia3qCLw6N9U80WhLwLn
